dataset,missingness_type,missing_rate,imputation_method,n_seeds,root_mean_square_error,root_mean_square_error_std,root_mean_square_error_median,root_mean_square_error_q1,root_mean_square_error_q3,root_mean_square_error_ci_lower,root_mean_square_error_ci_upper,mean_absolute_error,mean_absolute_error_std,mean_absolute_error_median,mean_absolute_error_q1,mean_absolute_error_q3,mean_absolute_error_ci_lower,mean_absolute_error_ci_upper
air_quality_and_pollution,missing_completely_at_random,1,k_nearest_neighbors_imputation,1,0.06519117366482981,0.0,0.06519117366482981,0.06519117366482981,0.06519117366482981,0.06519117366482981,0.06519117366482981,0.00496564923141637,0.0,0.00496564923141637,0.00496564923141637,0.00496564923141637,0.00496564923141637,0.00496564923141637
air_quality_and_pollution,missing_completely_at_random,3,k_nearest_neighbors_imputation,1,0.11816568041422001,0.0,0.11816568041422001,0.11816568041422001,0.11816568041422001,0.11816568041422001,0.11816568041422001,0.01591158461275781,0.0,0.01591158461275781,0.01591158461275781,0.01591158461275781,0.01591158461275781,0.01591158461275781
air_quality_and_pollution,missing_completely_at_random,6,k_nearest_neighbors_imputation,1,0.1654091001527642,0.0,0.1654091001527642,0.1654091001527642,0.1654091001527642,0.1654091001527642,0.1654091001527642,0.03144544992661361,0.0,0.03144544992661361,0.03144544992661361,0.03144544992661361,0.03144544992661361,0.03144544992661361
air_quality_and_pollution,missing_completely_at_random,2,k_nearest_neighbors_imputation,1,0.09280280312079624,0.0,0.09280280312079624,0.09280280312079624,0.09280280312079624,0.09280280312079624,0.09280280312079624,0.010149303665021729,0.0,0.010149303665021729,0.010149303665021729,0.010149303665021729,0.010149303665021729,0.010149303665021729
air_quality_and_pollution,missing_completely_at_random,5,constant_imputation,1,0.21823029518488601,0.0,0.21823029518488601,0.21823029518488601,0.21823029518488601,0.21823029518488601,0.21823029518488601,0.038091580653852875,0.0,0.038091580653852875,0.038091580653852875,0.038091580653852875,0.038091580653852875,0.038091580653852875
air_quality_and_pollution,missing_completely_at_random,5,mean_imputation,1,0.21828505237589285,0.0,0.21828505237589285,0.21828505237589285,0.21828505237589285,0.21828505237589285,0.21828505237589285,0.03810777478571562,0.0,0.03810777478571562,0.03810777478571562,0.03810777478571562,0.03810777478571562,0.03810777478571562
air_quality_and_pollution,missing_completely_at_random,5,median_imputation,1,0.22200654235039974,0.0,0.22200654235039974,0.22200654235039974,0.22200654235039974,0.22200654235039974,0.22200654235039974,0.037145859605054184,0.0,0.037145859605054184,0.037145859605054184,0.037145859605054184,0.037145859605054184,0.037145859605054184
air_quality_and_pollution,missing_completely_at_random,5,k_nearest_neighbors_imputation,1,0.15042535893319106,0.0,0.15042535893319106,0.15042535893319106,0.15042535893319106,0.15042535893319106,0.15042535893319106,0.026141628642827593,0.0,0.026141628642827593,0.026141628642827593,0.026141628642827593,0.026141628642827593,0.026141628642827593
air_quality_and_pollution,missing_completely_at_random,5,mice_imputation,9,0.18944586136234065,0.018203089752941295,0.18976067571653535,0.18336003994951997,0.20552535848511944,0.1754537279477489,0.2034379947769324,0.029684674694345867,0.00399581155210651,0.029562787730299744,0.026267123159783766,0.03363223595568209,0.026613222040127803,0.03275612734856393
air_quality_and_pollution,missing_completely_at_random,5,random_forest_imputation,9,0.13784046630295388,0.012868892356544698,0.1374015908875375,0.1308392110967019,0.14773570488922325,0.12794855997305743,0.14773237263285033,0.021978592070829868,0.003083958401373252,0.02158064620598497,0.019668539209147917,0.0247362212544392,0.019608051795375087,0.02434913234628465
air_quality_and_pollution,missing_completely_at_random,5,gain_imputation,9,0.3166919723215569,0.034600752912776894,0.3125525168516531,0.28514249404516073,0.3425979015969606,0.29009547922220985,0.3432884654209039,0.05222845972174069,0.006951385661561611,0.05158673460574587,0.045523316132386055,0.05781793631872506,0.04688515169475402,0.05757176774872737
air_quality_and_pollution,missing_completely_at_random,5,tabcsdi_imputation,9,0.19250385846660995,0.012490933043291881,0.19141477488308278,0.1842713014556616,0.20280860110197654,0.1829024773831468,0.2021052395500731,0.03021460751066937,0.0036647273984098854,0.030529045514387645,0.027535279402014178,0.033429148005678075,0.0273976486656263,0.03303156635571244
air_quality_and_pollution,missing_completely_at_random,5,otimpute_imputation,9,0.17063172554934886,0.008663045421388274,0.17097059314318985,0.16147041748868357,0.17864627547932882,0.16397271936095456,0.17729073173774315,0.026897159870831647,0.002523254271393104,0.026005031748077695,0.025488570889919456,0.02993356638165465,0.02495761494283029,0.028836704798833004
air_quality_and_pollution,missing_completely_at_random,4,k_nearest_neighbors_imputation,1,0.13479882839271967,0.0,0.13479882839271967,0.13479882839271967,0.13479882839271967,0.13479882839271967,0.13479882839271967,0.02099899421199192,0.0,0.02099899421199192,0.02099899421199192,0.02099899421199192,0.02099899421199192,0.02099899421199192
air_quality_and_pollution,missing_completely_at_random,15,k_nearest_neighbors_imputation,1,0.26371622884931406,0.0,0.26371622884931406,0.26371622884931406,0.26371622884931406,0.26371622884931406,0.26371622884931406,0.07950873913312034,0.0,0.07950873913312034,0.07950873913312034,0.07950873913312034,0.07950873913312034,0.07950873913312034
air_quality_and_pollution,missing_completely_at_random,10,mean_imputation,1,0.3063803324892374,0.0,0.3063803324892374,0.3063803324892374,0.3063803324892374,0.3063803324892374,0.3063803324892374,0.07654647444303414,0.0,0.07654647444303414,0.07654647444303414,0.07654647444303414,0.07654647444303414,0.07654647444303414
