dataset,missingness_type,missing_rate,imputation_method,tda_method,dimension,wasserstein_distance,bottleneck_distance,l2_distance_landscape,l2_distance_image
concrete_data,missing_at_random,5,constant_imputation,vietoris_rips,0,8.547854788510577,0.6008970517167591,0.13316227905353717,547667.1661657827
concrete_data,missing_at_random,5,constant_imputation,vietoris_rips,1,1.9090798929798196,0.040744188175891816,0.0075351404364880385,554438.1335014573
concrete_data,missing_at_random,5,constant_imputation,vietoris_rips,2,0.27047948074241135,0.01598722718838444,0.0017575492462118406,116597.45900991674
concrete_data,missing_at_random,5,mean_imputation,vietoris_rips,0,3.8645887387962365,0.021445708973564126,3.2814792737791427e-19,10858.840715004286
concrete_data,missing_at_random,5,mean_imputation,vietoris_rips,1,1.4414722836774918,0.014273376924090864,0.0016902636095783056,26191.3203217195
concrete_data,missing_at_random,5,mean_imputation,vietoris_rips,2,0.21034928008683668,0.007974973251194645,0.0011883998053279622,12966.12878578044
concrete_data,missing_at_random,5,median_imputation,vietoris_rips,0,3.3961206089663483,0.01949576651519258,3.2814792737791427e-19,9558.748954334877
concrete_data,missing_at_random,5,median_imputation,vietoris_rips,1,1.1953968528918242,0.014273376924090864,0.0017347001001321923,39906.911709637236
concrete_data,missing_at_random,5,median_imputation,vietoris_rips,2,0.22823205182889697,0.008511218999840142,0.001090668811170028,5123.490056897517
concrete_data,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,0,2.897178446361943,0.021772293202242735,3.2814792737791427e-19,7555.657206525314
concrete_data,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,1,1.06656686707952,0.014273376924090864,0.0017580607676118986,45127.104166332
concrete_data,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,2,0.18979702894241357,0.00834698978770021,0.0011425213865095157,31247.160068275123
concrete_data,missing_at_random,5,mice_imputation,vietoris_rips,0,4.51978774981178,0.01060103741787078,0.0,18010.292617830557
concrete_data,missing_at_random,5,mice_imputation,vietoris_rips,1,1.0752075496401259,0.016659431150462423,0.0029128024626327285,63629.00251260534
concrete_data,missing_at_random,5,mice_imputation,vietoris_rips,2,0.21902476284484115,0.010338988743749528,0.0011230049498989565,12327.465822072434
concrete_data,missing_at_random,5,random_forest_imputation,vietoris_rips,0,2.828249723823764,0.019771713591633627,3.2814792737791427e-19,7884.266680594352
concrete_data,missing_at_random,5,random_forest_imputation,vietoris_rips,1,1.05519057194689,0.014273376924090864,0.0016908941253688493,23264.585351628197
concrete_data,missing_at_random,5,random_forest_imputation,vietoris_rips,2,0.18134579718263566,0.00834698978770021,0.0007327336493069772,21176.520727670122
concrete_data,missing_at_random,25,constant_imputation,vietoris_rips,0,7.184047879692104,0.5931918045674498,0.13106912687002226,548031.4986271518
concrete_data,missing_at_random,25,constant_imputation,vietoris_rips,1,3.407031215453892,0.04718124845227284,0.00752214379756865,568481.3439548428
concrete_data,missing_at_random,25,constant_imputation,vietoris_rips,2,0.3720315551298304,0.021812746472358036,0.0019477246022351956,121413.03762677348
