dataset,missingness_type,missing_rate,imputation_method,tda_method,dimension,wasserstein_distance,bottleneck_distance,l2_distance_landscape,l2_distance_image
concrete_data,missing_completely_at_random,1,k_nearest_neighbors_imputation,vietoris_rips,0,1.071045927892561,0.007129519099354026,0.0,5003.992339758971
concrete_data,missing_completely_at_random,1,k_nearest_neighbors_imputation,vietoris_rips,1,0.7470203145337821,0.019817315254484824,0.002604115053721388,92434.48185971814
concrete_data,missing_completely_at_random,1,k_nearest_neighbors_imputation,vietoris_rips,2,0.1812192248482598,0.011323415628453487,0.0012572212805635275,4363.816163626022
concrete_data,missing_completely_at_random,3,k_nearest_neighbors_imputation,vietoris_rips,0,3.1755467721828525,0.008966027562512469,0.0,15890.632093800983
concrete_data,missing_completely_at_random,3,k_nearest_neighbors_imputation,vietoris_rips,1,1.3810816806983364,0.020300281912515136,0.0032017268192677056,151642.84769730366
concrete_data,missing_completely_at_random,3,k_nearest_neighbors_imputation,vietoris_rips,2,0.24527741165226946,0.00933371990073334,0.0013052568426347533,29994.00810178936
concrete_data,missing_completely_at_random,2,k_nearest_neighbors_imputation,vietoris_rips,0,1.8748373812699368,0.007144275567129849,0.0,9386.596033625752
concrete_data,missing_completely_at_random,2,k_nearest_neighbors_imputation,vietoris_rips,1,1.0738292965862442,0.0150976391172358,0.0024579159937359973,96345.7943084151
concrete_data,missing_completely_at_random,2,k_nearest_neighbors_imputation,vietoris_rips,2,0.21885449965690004,0.011110412169342276,0.0016236603317788404,26455.898939574967
concrete_data,missing_completely_at_random,4,k_nearest_neighbors_imputation,vietoris_rips,0,4.415689279726195,0.011135668648618813,0.0,21333.692092796875
concrete_data,missing_completely_at_random,4,k_nearest_neighbors_imputation,vietoris_rips,1,1.4707742213610002,0.017888214754425535,0.002697554596304106,147693.0365189624
concrete_data,missing_completely_at_random,4,k_nearest_neighbors_imputation,vietoris_rips,2,0.25167249814183434,0.008333734934472356,0.0012638969152087584,35899.35770880456
concrete_data,missing_completely_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,0,5.008292399550113,0.014053170231283413,0.0,23439.14187450918
concrete_data,missing_completely_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,1,1.5942365566760877,0.018968970776897784,0.0025247916017434972,158447.81647491365
concrete_data,missing_completely_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,2,0.27913370157274187,0.00904954217011586,0.0011526271463503978,38067.99847736342
concrete_data,missing_completely_at_random,6,k_nearest_neighbors_imputation,vietoris_rips,0,6.073883652832612,0.017657541921122205,4.640712493624679e-19,26829.200184985442
concrete_data,missing_completely_at_random,6,k_nearest_neighbors_imputation,vietoris_rips,1,1.8570633342310041,0.020948945526228502,0.0029733880971107092,171436.27135850288
concrete_data,missing_completely_at_random,6,k_nearest_neighbors_imputation,vietoris_rips,2,0.28579984603407205,0.008574761004922188,0.0009943418920045533,48833.18555384668
concrete_data,missing_completely_at_random,8,k_nearest_neighbors_imputation,vietoris_rips,0,7.652460487733251,0.017887751850692718,0.0004197014510604922,27520.802205141088
concrete_data,missing_completely_at_random,8,k_nearest_neighbors_imputation,vietoris_rips,1,1.984824621989892,0.0225855924801541,0.003378018117180009,204934.19225731064
concrete_data,missing_completely_at_random,8,k_nearest_neighbors_imputation,vietoris_rips,2,0.3363437829432978,0.0110554056574802,0.0011594490242179908,33578.86998709133
concrete_data,missing_completely_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,0,9.576389074470587,0.02496575315168334,0.0005081736164577411,78822.0575754037
concrete_data,missing_completely_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,1,2.1271760586658495,0.018050490738619585,0.003321038976385775,172274.8906668347
