dataset,missingness_type,missing_rate,imputation_method,tda_method,dimension,n_seeds,wasserstein_distance,wasserstein_distance_std,wasserstein_distance_median,wasserstein_distance_q1,wasserstein_distance_q3,wasserstein_distance_ci_lower,wasserstein_distance_ci_upper,bottleneck_distance,bottleneck_distance_std,bottleneck_distance_median,bottleneck_distance_q1,bottleneck_distance_q3,bottleneck_distance_ci_lower,bottleneck_distance_ci_upper,l2_distance_landscape,l2_distance_landscape_std,l2_distance_landscape_median,l2_distance_landscape_q1,l2_distance_landscape_q3,l2_distance_landscape_ci_lower,l2_distance_landscape_ci_upper,l2_distance_image,l2_distance_image_std,l2_distance_image_median,l2_distance_image_q1,l2_distance_image_q3,l2_distance_image_ci_lower,l2_distance_image_ci_upper
air_quality_and_pollution,missing_completely_at_random,40,k_nearest_neighbors_imputation,vietoris_rips,0,1,92.07831310727767,0.0,92.07831310727767,92.07831310727767,92.07831310727767,92.07831310727767,92.07831310727767,0.05342790700052544,0.0,0.05342790700052544,0.05342790700052544,0.05342790700052544,0.05342790700052544,0.05342790700052544,0.007589852458142664,0.0,0.007589852458142664,0.007589852458142664,0.007589852458142664,0.007589852458142664,0.007589852458142664,363156.58487996116,0.0,363156.58487996116,363156.58487996116,363156.58487996116,363156.58487996116,363156.58487996116
air_quality_and_pollution,missing_completely_at_random,40,k_nearest_neighbors_imputation,vietoris_rips,1,1,18.189112054863045,0.0,18.189112054863045,18.189112054863045,18.189112054863045,18.189112054863045,18.189112054863045,0.017297159455471445,0.0,0.017297159455471445,0.017297159455471445,0.017297159455471445,0.017297159455471445,0.017297159455471445,0.003321881892054705,0.0,0.003321881892054705,0.003321881892054705,0.003321881892054705,0.003321881892054705,0.003321881892054705,3123242.170764884,0.0,3123242.170764884,3123242.170764884,3123242.170764884,3123242.170764884,3123242.170764884
air_quality_and_pollution,missing_completely_at_random,40,k_nearest_neighbors_imputation,vietoris_rips,2,1,8.00668598810674,0.0,8.00668598810674,8.00668598810674,8.00668598810674,8.00668598810674,8.00668598810674,0.00873127963149367,0.0,0.00873127963149367,0.00873127963149367,0.00873127963149367,0.00873127963149367,0.00873127963149367,0.0017597510228494345,0.0,0.0017597510228494345,0.0017597510228494345,0.0017597510228494345,0.0017597510228494345,0.0017597510228494345,4998244.421635475,0.0,4998244.421635475,4998244.421635475,4998244.421635475,4998244.421635475,4998244.421635475
air_quality_and_pollution,missing_completely_at_random,15,k_nearest_neighbors_imputation,vietoris_rips,0,1,19.728491880770186,0.0,19.728491880770186,19.728491880770186,19.728491880770186,19.728491880770186,19.728491880770186,0.016697348407914037,0.0,0.016697348407914037,0.016697348407914037,0.016697348407914037,0.016697348407914037,0.016697348407914037,0.0002443006199391895,0.0,0.0002443006199391895,0.0002443006199391895,0.0002443006199391895,0.0002443006199391895,0.0002443006199391895,251630.44543638141,0.0,251630.44543638141,251630.44543638141,251630.44543638141,251630.44543638141,251630.44543638141
air_quality_and_pollution,missing_completely_at_random,15,k_nearest_neighbors_imputation,vietoris_rips,1,1,6.861524688867888,0.0,6.861524688867888,6.861524688867888,6.861524688867888,6.861524688867888,6.861524688867888,0.009486308094123652,0.0,0.009486308094123652,0.009486308094123652,0.009486308094123652,0.009486308094123652,0.009486308094123652,0.0016556846838247721,0.0,0.0016556846838247721,0.0016556846838247721,0.0016556846838247721,0.0016556846838247721,0.0016556846838247721,1256108.6919132527,0.0,1256108.6919132527,1256108.6919132527,1256108.6919132527,1256108.6919132527,1256108.6919132527
air_quality_and_pollution,missing_completely_at_random,15,k_nearest_neighbors_imputation,vietoris_rips,2,1,4.153118753369953,0.0,4.153118753369953,4.153118753369953,4.153118753369953,4.153118753369953,4.153118753369953,0.008731279631493668,0.0,0.008731279631493668,0.008731279631493668,0.008731279631493668,0.008731279631493668,0.008731279631493668,0.001498855655778659,0.0,0.001498855655778659,0.001498855655778659,0.001498855655778659,0.001498855655778659,0.001498855655778659,2527632.2663420476,0.0,2527632.2663420476,2527632.2663420476,2527632.2663420476,2527632.2663420476,2527632.2663420476
air_quality_and_pollution,missing_completely_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,0,1,4.426418656657097,0.0,4.426418656657097,4.426418656657097,4.426418656657097,4.426418656657097,4.426418656657097,0.014593687381503184,0.0,0.014593687381503184,0.014593687381503184,0.014593687381503184,0.014593687381503184,0.014593687381503184,1.7937915395185684e-19,0.0,1.7937915395185684e-19,1.7937915395185684e-19,1.7937915395185684e-19,1.7937915395185684e-19,1.7937915395185684e-19,220804.72403150797,0.0,220804.72403150797,220804.72403150797,220804.72403150797,220804.72403150797,220804.72403150797
air_quality_and_pollution,missing_completely_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,1,1,3.000960585890114,0.0,3.000960585890114,3.000960585890114,3.000960585890114,3.000960585890114,3.000960585890114,0.00758595737870868,0.0,0.00758595737870868,0.00758595737870868,0.00758595737870868,0.00758595737870868,0.00758595737870868,0.001590729772341065,0.0,0.001590729772341065,0.001590729772341065,0.001590729772341065,0.001590729772341065,0.001590729772341065,434382.9923465647,0.0,434382.9923465647,434382.9923465647,434382.9923465647,434382.9923465647,434382.9923465647
air_quality_and_pollution,missing_completely_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,2,1,2.1700950336118785,0.0,2.1700950336118785,2.1700950336118785,2.1700950336118785,2.1700950336118785,2.1700950336118785,0.005549985196846019,0.0,0.005549985196846019,0.005549985196846019,0.005549985196846019,0.005549985196846019,0.005549985196846019,0.001287743573765707,0.0,0.001287743573765707,0.001287743573765707,0.001287743573765707,0.001287743573765707,0.001287743573765707,818724.1594118213,0.0,818724.1594118213,818724.1594118213,818724.1594118213,818724.1594118213,818724.1594118213
air_quality_and_pollution,missing_completely_at_random,4,k_nearest_neighbors_imputation,vietoris_rips,0,1,3.3608483737161965,0.0,3.3608483737161965,3.3608483737161965,3.3608483737161965,3.3608483737161965,3.3608483737161965,0.014594262446024214,0.0,0.014594262446024214,0.014594262446024214,0.014594262446024214,0.014594262446024214,0.014594262446024214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171282.1515603415,0.0,171282.1515603415,171282.1515603415,171282.1515603415,171282.1515603415,171282.1515603415
air_quality_and_pollution,missing_completely_at_random,4,k_nearest_neighbors_imputation,vietoris_rips,1,1,2.653227963852596,0.0,2.653227963852596,2.653227963852596,2.653227963852596,2.653227963852596,2.653227963852596,0.008179367708118791,0.0,0.008179367708118791,0.008179367708118791,0.008179367708118791,0.008179367708118791,0.008179367708118791,0.001613358099766927,0.0,0.001613358099766927,0.001613358099766927,0.001613358099766927,0.001613358099766927,0.001613358099766927,337088.9913126306,0.0,337088.9913126306,337088.9913126306,337088.9913126306,337088.9913126306,337088.9913126306
air_quality_and_pollution,missing_completely_at_random,4,k_nearest_neighbors_imputation,vietoris_rips,2,1,1.9443592620684904,0.0,1.9443592620684904,1.9443592620684904,1.9443592620684904,1.9443592620684904,1.9443592620684904,0.005193845238680215,0.0,0.005193845238680215,0.005193845238680215,0.005193845238680215,0.005193845238680215,0.005193845238680215,0.0011252789705426792,0.0,0.0011252789705426792,0.0011252789705426792,0.0011252789705426792,0.0011252789705426792,0.0011252789705426792,620684.4782242955,0.0,620684.4782242955,620684.4782242955,620684.4782242955,620684.4782242955,620684.4782242955
air_quality_and_pollution,missing_completely_at_random,1,k_nearest_neighbors_imputation,vietoris_rips,0,1,0.6333041052609532,0.0,0.6333041052609532,0.6333041052609532,0.6333041052609532,0.6333041052609532,0.6333041052609532,0.005147565046138445,0.0,0.005147565046138445,0.005147565046138445,0.005147565046138445,0.005147565046138445,0.005147565046138445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.772220610994,0.0,1584.772220610994,1584.772220610994,1584.772220610994,1584.772220610994,1584.772220610994
air_quality_and_pollution,missing_completely_at_random,1,k_nearest_neighbors_imputation,vietoris_rips,1,1,1.2688260144160055,0.0,1.2688260144160055,1.2688260144160055,1.2688260144160055,1.2688260144160055,1.2688260144160055,0.004771622866204361,0.0,0.004771622866204361,0.004771622866204361,0.004771622866204361,0.004771622866204361,0.004771622866204361,0.0004854390863960018,0.0,0.0004854390863960018,0.0004854390863960018,0.0004854390863960018,0.0004854390863960018,0.0004854390863960018,48582.61211063986,0.0,48582.61211063986,48582.61211063986,48582.61211063986,48582.61211063986,48582.61211063986
air_quality_and_pollution,missing_completely_at_random,1,k_nearest_neighbors_imputation,vietoris_rips,2,1,1.075867401265985,0.0,1.075867401265985,1.075867401265985,1.075867401265985,1.075867401265985,1.075867401265985,0.00419797100365335,0.0,0.00419797100365335,0.00419797100365335,0.00419797100365335,0.00419797100365335,0.00419797100365335,0.0007459198872674866,0.0,0.0007459198872674866,0.0007459198872674866,0.0007459198872674866,0.0007459198872674866,0.0007459198872674866,161059.98968687613,0.0,161059.98968687613,161059.98968687613,161059.98968687613,161059.98968687613,161059.98968687613
air_quality_and_pollution,missing_completely_at_random,3,k_nearest_neighbors_imputation,vietoris_rips,0,1,2.4938150121237266,0.0,2.4938150121237266,2.4938150121237266,2.4938150121237266,2.4938150121237266,2.4938150121237266,0.014632154197400271,0.0,0.014632154197400271,0.014632154197400271,0.014632154197400271,0.014632154197400271,0.014632154197400271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174413.61448812982,0.0,174413.61448812982,174413.61448812982,174413.61448812982,174413.61448812982,174413.61448812982
air_quality_and_pollution,missing_completely_at_random,3,k_nearest_neighbors_imputation,vietoris_rips,1,1,2.2246889824945573,0.0,2.2246889824945573,2.2246889824945573,2.2246889824945573,2.2246889824945573,2.2246889824945573,0.005131413233938564,0.0,0.005131413233938564,0.005131413233938564,0.005131413233938564,0.005131413233938564,0.005131413233938564,0.0013300853501294124,0.0,0.0013300853501294124,0.0013300853501294124,0.0013300853501294124,0.0013300853501294124,0.0013300853501294124,348070.1296995676,0.0,348070.1296995676,348070.1296995676,348070.1296995676,348070.1296995676,348070.1296995676
air_quality_and_pollution,missing_completely_at_random,3,k_nearest_neighbors_imputation,vietoris_rips,2,1,1.7490390808739773,0.0,1.7490390808739773,1.7490390808739773,1.7490390808739773,1.7490390808739773,1.7490390808739773,0.005193845238680217,0.0,0.005193845238680217,0.005193845238680217,0.005193845238680217,0.005193845238680217,0.005193845238680217,0.0011531384454379159,0.0,0.0011531384454379159,0.0011531384454379159,0.0011531384454379159,0.0011531384454379159,0.0011531384454379159,518911.63173680275,0.0,518911.63173680275,518911.63173680275,518911.63173680275,518911.63173680275,518911.63173680275
