dataset,missingness_type,missing_rate,imputation_method,rmse
diabetes,missing_at_random,10,random_forest_imputation,5.96462029220024
diabetes,missing_at_random,20,k_nearest_neighbors_imputation,22.037939808632906
diabetes,missing_at_random,25,constant_imputation,38.17233411086299
diabetes,missing_at_random,25,mean_imputation,29.236112519768334
diabetes,missing_at_random,25,median_imputation,25.333798652524788
diabetes,missing_at_random,25,k_nearest_neighbors_imputation,27.961968113757457
diabetes,missing_at_random,25,mice_imputation,37.11633213293852
diabetes,missing_at_random,25,random_forest_imputation,39.555268195816126
diabetes,missing_at_random,30,k_nearest_neighbors_imputation,30.809651211462217
diabetes,missing_at_random,40,k_nearest_neighbors_imputation,40.20803838412608
diabetes,missing_not_at_random,1,k_nearest_neighbors_imputation,4.617975085532836
diabetes,missing_not_at_random,2,k_nearest_neighbors_imputation,6.6798991036622715
diabetes,missing_not_at_random,4,k_nearest_neighbors_imputation,10.39889239305118
diabetes,missing_not_at_random,3,k_nearest_neighbors_imputation,7.666912346798077
diabetes,missing_not_at_random,5,constant_imputation,2.2418131921162283
diabetes,missing_not_at_random,5,mean_imputation,3.212494109291981
diabetes,missing_not_at_random,5,median_imputation,3.3596051964250733
diabetes,missing_not_at_random,5,k_nearest_neighbors_imputation,2.4098412558601097
diabetes,missing_not_at_random,5,mice_imputation,3.1974099305527584
diabetes,missing_not_at_random,5,random_forest_imputation,2.3460236279381013
diabetes,missing_not_at_random,6,k_nearest_neighbors_imputation,10.314417334870225
diabetes,missing_not_at_random,8,k_nearest_neighbors_imputation,13.003586013707611
diabetes,missing_not_at_random,10,constant_imputation,15.187967757269762
diabetes,missing_not_at_random,10,mean_imputation,10.614502890694999
diabetes,missing_not_at_random,10,median_imputation,9.778456162917253
diabetes,missing_not_at_random,10,k_nearest_neighbors_imputation,9.333630845066441
diabetes,missing_not_at_random,10,mice_imputation,10.232382786887706
diabetes,missing_not_at_random,10,random_forest_imputation,9.803632240585758
diabetes,missing_not_at_random,15,k_nearest_neighbors_imputation,12.152307946164472
diabetes,missing_not_at_random,25,constant_imputation,24.529007328484237
diabetes,missing_not_at_random,25,mean_imputation,42.406221014163
diabetes,missing_not_at_random,25,median_imputation,34.58364708693016
diabetes,missing_not_at_random,25,k_nearest_neighbors_imputation,40.00597962807222
diabetes,missing_not_at_random,25,mice_imputation,47.904398338861675
diabetes,missing_not_at_random,25,random_forest_imputation,51.269497471973835
diabetes,missing_not_at_random,20,k_nearest_neighbors_imputation,12.976538059057933
diabetes,missing_not_at_random,30,k_nearest_neighbors_imputation,46.71328868808354
diabetes,missing_not_at_random,40,k_nearest_neighbors_imputation,72.98899036831952
stock,missing_completely_at_random,1,k_nearest_neighbors_imputation,0.1460311128508848
stock,missing_completely_at_random,2,k_nearest_neighbors_imputation,0.187721409835749
stock,missing_completely_at_random,3,k_nearest_neighbors_imputation,0.23695288173977191
stock,missing_completely_at_random,4,k_nearest_neighbors_imputation,0.2693207597093034
stock,missing_completely_at_random,5,constant_imputation,7.358566340702944
stock,missing_completely_at_random,5,mean_imputation,1.859252356348668
stock,missing_completely_at_random,5,median_imputation,1.9481554065950728
stock,missing_completely_at_random,5,k_nearest_neighbors_imputation,0.310701826118461
stock,missing_completely_at_random,5,mice_imputation,0.9595970659846298
stock,missing_completely_at_random,5,random_forest_imputation,0.23608126502029117
stock,missing_completely_at_random,6,k_nearest_neighbors_imputation,0.3362686477432899
stock,missing_completely_at_random,8,k_nearest_neighbors_imputation,0.40100519370748416
stock,missing_completely_at_random,10,constant_imputation,10.712249996880791
stock,missing_completely_at_random,10,mean_imputation,2.6952109280587795
stock,missing_completely_at_random,10,median_imputation,2.82461888740133
stock,missing_completely_at_random,10,k_nearest_neighbors_imputation,0.4915070684977337
stock,missing_completely_at_random,10,mice_imputation,1.432808716204901
stock,missing_completely_at_random,10,random_forest_imputation,0.36357699423445095
stock,missing_completely_at_random,15,k_nearest_neighbors_imputation,0.675049299257906
stock,missing_completely_at_random,20,k_nearest_neighbors_imputation,0.8826614006348245
stock,missing_completely_at_random,25,constant_imputation,16.78000757968798
stock,missing_completely_at_random,25,mean_imputation,4.138934524563497
stock,missing_completely_at_random,25,median_imputation,4.373860226985389
stock,missing_completely_at_random,25,k_nearest_neighbors_imputation,1.1283439228655314
stock,missing_completely_at_random,25,mice_imputation,2.373566744921671
stock,missing_completely_at_random,25,random_forest_imputation,0.8500457852546304
stock,missing_completely_at_random,30,k_nearest_neighbors_imputation,1.457562817698737
stock,missing_completely_at_random,40,k_nearest_neighbors_imputation,2.887091659107142
stock,missing_at_random,3,k_nearest_neighbors_imputation,0.3337200029472634
stock,missing_at_random,1,k_nearest_neighbors_imputation,0.18948129068371974
stock,missing_at_random,2,k_nearest_neighbors_imputation,0.25895621473542096
stock,missing_at_random,4,k_nearest_neighbors_imputation,0.4681322255736437
