dataset,missingness_type,missing_rate,imputation_method,tda_method,dimension,wasserstein_distance,bottleneck_distance
stock,missing_at_random,5,k_nearest_neighbors_imputation,kernel_distance,2,2.5994277037866335e-07,1.8380729565475873e-07
stock,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,0,0.41950809256818666,0.011409255693111103
stock,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,1,0.14495255586272107,0.009714450910180625
stock,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,2,0.010111150787057977,0.0018945164086017902
stock,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,0,0.3054873080637556,0.01894947086784085
stock,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,1,0.020332982359261738,0.0020687872587909634
stock,missing_at_random,5,k_nearest_neighbors_imputation,distance_to_a_measure,2,0.000533554832545344,0.0003576043998426981
stock,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,0,0.5971424882176536,0.032968156447057
stock,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,1,0.26820703644424404,0.03134069742674511
stock,missing_at_random,10,k_nearest_neighbors_imputation,vietoris_rips,2,0.01177577444903779,0.001443341021112085
stock,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,0,0.07302201460273083,0.0017623989545720344
stock,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,1,0.0008889485397193582,0.0002341412700723241
stock,missing_at_random,10,k_nearest_neighbors_imputation,kernel_distance,2,1.3909631326615215e-06,7.813732735752893e-07
stock,missing_at_random,10,k_nearest_neighbors_imputation,distance_to_a_measure,0,0.4069871008428978,0.031674485323107376
stock,missing_at_random,10,k_nearest_neighbors_imputation,distance_to_a_measure,1,0.07635390352401664,0.024695628396259633
stock,missing_at_random,10,k_nearest_neighbors_imputation,distance_to_a_measure,2,0.0011487512722689406,0.0003576043998426981
stock,missing_at_random,25,k_nearest_neighbors_imputation,distance_to_a_measure,0,0.6303303046064159,0.02808023594266064
stock,missing_at_random,25,k_nearest_neighbors_imputation,distance_to_a_measure,1,0.11512251601954981,0.035277120623017744
stock,missing_at_random,25,k_nearest_neighbors_imputation,distance_to_a_measure,2,0.0015664956186646995,0.0003576043998426981
stock,missing_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,0,1.7772670985663654,0.012248678233113139
stock,missing_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,1,0.4471800454124595,0.04421438814308207
stock,missing_at_random,25,k_nearest_neighbors_imputation,vietoris_rips,2,0.02015896411794862,0.0027420756899763053
stock,missing_at_random,25,k_nearest_neighbors_imputation,kernel_distance,0,0.5037917468882402,0.0036619143063610776
stock,missing_at_random,25,k_nearest_neighbors_imputation,kernel_distance,1,0.0043747491060363575,0.00044172353952491063
stock,missing_at_random,25,k_nearest_neighbors_imputation,kernel_distance,2,1.8641920854665062e-06,7.813732735752893e-07
rmftsa_ladata,missing_at_random,5,k_nearest_neighbors_imputation,vietoris_rips,0,1.049189806910513,0.024962372326330085
